Accno	Trimpoints Used	Used Trimmed Length	Orig Trimpoints	Orig Trimmed Length	Raw Length
HSKHDBE01AGCPE	57-400	344	15-400	386	542
HSKHDBE01BPNPA	61-311	251	15-311	297	313
HSKHDBE01AR8YM	59-158	100	15-158	144	172
HSKHDBE01DZCDX	59-309	251	15-309	295	313
HSKHDBE01A8SKJ	61-456	396	15-456	442	468
HSKHDBE01CPUC8	55-210	156	15-210	196	632
HSKHDBE01BV146	55-439	385	15-439	425	452
HSKHDBE01CQQ7G	54-455	402	15-455	441	461
HSKHDBE01AIHPI	56-213	158	15-213	199	491
HSKHDBE01C33IJ	56-368	313	15-368	354	397
HSKHDBE01BUXTP	57-87	31	15-87	73	511
HSKHDBE01C0IAK	56-133	78	15-133	119	341
HSKHDBE01DLLQ5	58-292	235	15-292	278	294
HSKHDBE01CPFAC	59-155	97	15-155	141	169
HSKHDBE01DZTO6	56-472	417	15-508	494	511
HSKHDBE01DEXHC	54-501	448	15-501	487	504
HSKHDBE01DHKRP	80-344	265	15-344	330	347
HSKHDBE01DJEQI	55-508	454	15-508	494	519
HSKHDBE01DK4ZO	59-421	363	15-421	407	438
HSKHDBE01BSMVL	59-262	204	15-262	248	531
HSKHDBE01CA0HP	56-361	306	15-453	439	480
HSKHDBE01CWYIA	56-153	98	15-153	139	290
HSKHDBE01AVRH7	57-390	334	15-447	433	471
HSKHDBE01C04TP	54-320	267	15-320	306	323
HSKHDBE01DF2KH	59-448	390	15-448	434	464
HSKHDBE01CCSDO	58-336	279	15-336	322	537
HSKHDBE01EOL29	56-217	162	15-217	203	222
HSKHDBE01D4MF3	57-136	80	15-136	122	391
HSKHDBE01ADWQ9	61-464	404	15-464	450	467
HSKHDBE01B7X8B	56-433	378	15-433	419	510
HSKHDBE01EL30F	54-97	44	15-97	83	608
HSKHDBE01D29TS	93-477	385	15-477	463	521
HSKHDBE01DF1O5	57-510	454	15-521	507	538
HSKHDBE01CHIOC	57-436	380	15-436	422	503
HSKHDBE01BG1CN	80-270	191	15-323	309	346
HSKHDBE01B3L4G	59-171	113	15-171	157	173
HSKHDBE01DN2OM	56-504	449	15-530	516	548
HSKHDBE01DCA8V	57-121	65	15-121	107	511
HSKHDBE01AMME0	93-472	380	15-472	458	480
HSKHDBE01BZCKA	59-157	99	15-157	143	172
HSKHDBE01DCCT2	57-164	108	15-164	150	388
HSKHDBE01AX218	56-365	310	15-365	351	493
HSKHDBE01DVNXN	115-134	20	15-134	120	148
HSKHDBE01A1SVJ	60-290	231	15-290	276	299
HSKHDBE01DFPJD	57-109	53	15-158	144	181
HSKHDBE01AHWSY	55-182	128	15-182	168	506
HSKHDBE01CZBSN	93-471	379	15-471	457	517
HSKHDBE01D8FVK	57-462	406	15-462	448	500
HSKHDBE01AX8LN	56-343	288	15-353	339	551
HSKHDBE01CSQYM	93-481	389	15-481	467	518
HSKHDBE01EEJLA	59-329	271	15-329	315	331
HSKHDBE01AQF2M	93-513	421	15-513	499	520
HSKHDBE01C9U40	55-108	54	15-108	94	519
HSKHDBE01BFC9T	55-178	124	15-178	164	537
HSKHDBE01AZYHI	91-332	242	15-350	336	531
HSKHDBE01DO65Y	57-499	443	15-510	496	534
HSKHDBE01BM5G3	93-459	367	15-459	445	478
HSKHDBE01CU4BO	57-493	437	15-493	479	496
HSKHDBE01CQYGX	54-450	397	15-450	436	457
HSKHDBE01CVL4O	36-36	1	15-59	45	585
HSKHDBE01AO1GT	55-181	127	15-181	167	479
HSKHDBE01DTBWP	54-328	275	15-328	314	333
HSKHDBE01B1E13	55-516	462	15-516	502	522
HSKHDBE01DRHZN	56-271	216	15-271	257	534
HSKHDBE01CXD4P	56-267	212	15-267	253	286
HSKHDBE01BQDHF	59-148	90	15-148	134	474
HSKHDBE01CWBQF	57-474	418	15-482	468	514
HSKHDBE01CSBE3	56-396	341	15-396	382	546
HSKHDBE01BVS1A	57-114	58	15-114	100	626
HSKHDBE01C402N	56-496	441	15-496	482	497
HSKHDBE01EQD9A	58-296	239	15-296	282	298
HSKHDBE01CMI32	57-238	182	15-238	224	794
HSKHDBE01BZO88	56-226	171	15-226	212	415
HSKHDBE01AJ5LI	37-92	56	15-92	78	579
HSKHDBE01C8CJW	115-132	18	15-134	120	147
HSKHDBE01DT1H7	55-516	462	15-516	502	527
HSKHDBE01DC49K	58-281	224	15-281	267	283
HSKHDBE01ESMZN	54-319	266	15-319	305	330
HSKHDBE01B3TS4	56-362	307	15-362	348	366
HSKHDBE01CAWEZ	56-435	380	15-435	421	502
HSKHDBE01AXDRL	59-452	394	15-452	438	475
HSKHDBE01D8PEX	57-295	239	15-295	281	297
HSKHDBE01C0ZLX	55-518	464	15-518	504	521
HSKHDBE01CIGDG	56-169	114	15-169	155	610
HSKHDBE01CSIS2	35-35	1	15-87	73	108
HSKHDBE01DU1OI	59-339	281	15-339	325	343
HSKHDBE01B14JW	57-537	481	15-537	523	540
HSKHDBE01BKZ9H	55-179	125	15-179	165	511
HSKHDBE01DB5L5	36-36	1	15-60	46	522
HSKHDBE01CY5Z4	57-396	340	15-396	382	628
HSKHDBE01DKCN7	55-178	124	15-178	164	522
HSKHDBE01CEDJ4	57-510	454	15-538	524	542
HSKHDBE01AIGMX	56-470	415	15-510	496	514
HSKHDBE01CJ30M	59-157	99	15-157	143	172
HSKHDBE01DRD88	56-157	102	15-157	143	554
HSKHDBE01B1MAI	56-363	308	15-363	349	367
HSKHDBE01BSB0E	55-60	6	15-60	46	207
HSKHDBE01B7H7G	57-57	1	15-57	43	152
HSKHDBE01D7EV5	54-444	391	15-444	430	515
HSKHDBE01CQR3F	56-83	28	15-83	69	523
HSKHDBE01D3CVK	37-309	273	15-309	295	434
HSKHDBE01AL0WL	55-418	364	15-418	404	525
HSKHDBE01DKAJ9	58-80	23	15-80	66	455
HSKHDBE01CUPOF	57-123	67	15-123	109	180
HSKHDBE01B4HYJ	55-178	124	15-178	164	512
HSKHDBE01DK5YO	61-334	274	15-334	320	337
HSKHDBE01DO0S2	57-374	318	15-374	360	546
HSKHDBE01CR32S	36-36	1	15-60	46	416
HSKHDBE01ENL2H	56-72	17	15-72	58	648
HSKHDBE01AYK3Q	56-119	64	15-119	105	583
HSKHDBE01AFDV2	55-285	231	15-285	271	545
HSKHDBE01BBCNN	55-407	353	15-418	404	513
HSKHDBE01CARVL	61-255	195	15-255	241	262
HSKHDBE01B3NOK	56-195	140	15-195	181	196
HSKHDBE01DKKA1	61-508	448	15-508	494	517
HSKHDBE01A1B9K	56-409	354	15-409	395	483
HSKHDBE01B879W	54-457	404	15-457	443	460
HSKHDBE01CZNPM	59-409	351	15-409	395	513
HSKHDBE01EYHYC	59-453	395	15-507	493	510
HSKHDBE01DM8YY	58-495	438	15-495	481	513
HSKHDBE01EPEAT	57-472	416	15-501	487	508
HSKHDBE01CJ84Q	56-506	451	15-506	492	507
HSKHDBE01AP1VG	51-51	1	15-51	37	587
HSKHDBE01DP9CG	55-142	88	15-197	183	230
HSKHDBE01A9LEA	93-512	420	15-512	498	519
HSKHDBE01D5C5I	58-271	214	15-271	257	273
HSKHDBE01APLVR	55-249	195	15-249	235	530
HSKHDBE01BZD0S	58-311	254	15-311	297	534
HSKHDBE01A2PCG	36-36	1	15-66	52	575
HSKHDBE01BUA5X	54-281	228	15-281	267	286
HSKHDBE01C1CGT	55-178	124	15-178	164	523
HSKHDBE01CXPEM	59-462	404	15-462	448	469
HSKHDBE01BR8AE	56-361	306	15-418	404	446
HSKHDBE01C5SRG	53-331	279	15-331	317	547
HSKHDBE01CW6X7	57-508	452	15-534	520	537
HSKHDBE01CA9UO	83-103	21	15-103	89	149
HSKHDBE01DUELF	54-124	71	15-124	110	754
HSKHDBE01C8FJD	59-529	471	15-529	515	535
