Accno	Trimpoints Used	Used Trimmed Length	Orig Trimpoints	Orig Trimmed Length	Raw Length
HNV3Z9J01DW87W	58-79	22	15-79	65	93
HNV3Z9J01DLA96	58-91	34	15-91	77	93
HNV3Z9J01DF392	59-180	122	15-180	166	336
HNV3Z9J01AWV0R	58-91	34	15-91	77	92
HNV3Z9J01CQJ0E	58-334	277	15-334	320	338
HNV3Z9J01AC63L	59-381	323	15-381	367	508
HNV3Z9J01BN57V	59-493	435	15-493	479	500
HNV3Z9J01DWNOZ	59-80	22	15-80	66	93
HNV3Z9J01D0B7D	59-212	154	15-212	198	507
HNV3Z9J01A00M4	59-321	263	15-321	307	346
HNV3Z9J01ETLN3	61-483	423	15-507	493	510
HNV3Z9J01ECBG5	37-436	400	15-444	430	507
HNV3Z9J01AL2JO	56-257	202	15-257	243	266
HNV3Z9J01CSZ7G	36-36	1	15-66	52	383
HNV3Z9J01DXNK0	62-470	409	15-500	486	510
HNV3Z9J01CIJ4P	63-106	44	15-106	92	590
HNV3Z9J01AN2Z2	59-337	279	14-348	335	444
HNV3Z9J01A2RE5	37-457	421	15-457	443	500
HNV3Z9J01CPQ5Q	59-217	159	15-217	203	364
HNV3Z9J01DDAD6	60-335	276	15-335	321	349
HNV3Z9J01D7TLH	36-36	1	15-67	53	550
HNV3Z9J01AIM9M	37-178	142	15-178	164	184
HNV3Z9J01BYNCC	59-332	274	15-332	318	336
HNV3Z9J01BAP0O	57-192	136	15-192	178	208
HNV3Z9J01B48MG	57-257	201	15-257	243	276
HNV3Z9J01D7B6Y	59-265	207	15-265	251	269
HNV3Z9J01BBWRQ	38-78	41	15-78	64	676
HNV3Z9J01DZL7A	59-164	106	15-164	150	166
HNV3Z9J01A7OKA	58-146	89	15-146	132	371
HNV3Z9J01C5Z93	37-288	252	15-288	274	301
HNV3Z9J01EE0H7	62-97	36	15-119	105	366
HNV3Z9J01AI8YM	38-423	386	15-423	409	540
HNV3Z9J01COCDF	61-227	167	15-227	213	229
HNV3Z9J01D09HP	37-444	408	15-444	430	582
HNV3Z9J01CWVZD	59-151	93	15-151	137	153
HNV3Z9J01EJYAL	60-232	173	15-232	218	339
HNV3Z9J01BAJYK	78-466	389	15-466	452	475
HNV3Z9J01BTHCV	61-90	30	15-90	76	529
HNV3Z9J01CFH5Z	58-255	198	15-259	245	338
HNV3Z9J01DG0OZ	59-333	275	15-333	319	337
HNV3Z9J01AH7VZ	37-448	412	15-455	441	546
HNV3Z9J01BQJCF	78-455	378	15-455	441	469
HNV3Z9J01BVQ88	37-163	127	15-191	177	745
HNV3Z9J01D0KCD	62-472	411	15-489	475	509
HNV3Z9J01AZIOH	37-435	399	15-435	421	503
HNV3Z9J01APU7L	58-297	240	15-297	283	312
HNV3Z9J01DEBY1	38-54	17	15-54	40	648
HNV3Z9J01DF8NX	65-277	213	15-297	283	359
HNV3Z9J01C8M8U	78-449	372	15-449	435	470
HNV3Z9J01DR8TP	37-204	168	15-238	224	286
HNV3Z9J01AF3OB	68-401	334	15-401	387	546
HNV3Z9J01A2CK2	56-266	211	15-266	252	268
HNV3Z9J01DK8JH	58-326	269	15-326	312	332
HNV3Z9J01ESBG2	58-333	276	15-333	319	336
HNV3Z9J01BZGHO	37-332	296	15-332	318	418
HNV3Z9J01EOCTX	58-306	249	15-306	292	327
HNV3Z9J01B8TMP	59-449	391	15-469	455	533
HNV3Z9J01B8WG1	61-125	65	15-141	127	481
HNV3Z9J01DKNSI	92-107	16	15-107	93	179
HNV3Z9J01AY5IE	37-448	412	15-455	441	543
HNV3Z9J01DP8NO	59-333	275	15-333	319	337
HNV3Z9J01BJCGJ	61-178	118	15-178	164	321
HNV3Z9J01AERSG	58-447	390	15-480	466	525
HNV3Z9J01B302O	58-321	264	15-321	307	325
HNV3Z9J01BVUTB	58-350	293	15-350	336	362
HNV3Z9J01BXFGR	58-427	370	15-427	413	538
HNV3Z9J01CYC24	58-467	410	15-467	453	470
HNV3Z9J01DYKHP	58-334	277	15-334	320	338
HNV3Z9J01CPB0E	57-306	250	15-306	292	324
HNV3Z9J01CU1PF	58-347	290	15-347	333	608
HNV3Z9J01A3MDA	60-480	421	15-525	511	528
HNV3Z9J01B95TU	59-267	209	15-267	253	270
HNV3Z9J01DJF8Z	57-485	429	15-485	471	490
HNV3Z9J01C0J3Q	61-268	208	15-268	254	271
HNV3Z9J01C9T7H	66-407	342	15-407	393	485
HNV3Z9J01CQ43H	37-37	1	15-58	44	396
HNV3Z9J01BNBY4	58-509	452	15-518	504	535
HNV3Z9J01DZPS3	60-167	108	15-167	153	190
HNV3Z9J01BFRC2	58-225	168	15-225	211	227
HNV3Z9J01AG9JH	57-516	460	15-516	502	520
HNV3Z9J01B1BUK	57-446	390	15-478	464	526
HNV3Z9J01B0K90	58-335	278	15-335	321	354
HNV3Z9J01DORY8	57-147	91	15-147	133	764
HNV3Z9J01AOGEP	56-167	112	15-167	153	346
HNV3Z9J01DG6BQ	61-169	109	15-169	155	171
HNV3Z9J01AXG7P	59-483	425	15-491	477	504
HNV3Z9J01EBOLU	63-116	54	15-148	134	551
HNV3Z9J01AJY2G	58-455	398	15-475	461	479
HNV3Z9J01AF2FH	58-315	258	15-315	301	317
HNV3Z9J01ATS3J	60-260	201	15-269	255	509
HNV3Z9J01ARZNC	57-446	390	15-478	464	524
HNV3Z9J01AJQ2G	37-497	461	15-522	508	527
HNV3Z9J01DOZ11	58-265	208	15-302	288	331
HNV3Z9J01BQEY3	60-366	307	15-366	352	370
HNV3Z9J01D2ON3	57-193	137	15-233	219	297
HNV3Z9J01AIMMI	61-326	266	15-326	312	510
HNV3Z9J01BHR5K	58-313	256	15-313	299	325
HNV3Z9J01A6284	41-56	16	16-67	52	517
HNV3Z9J01A3FMM	59-493	435	15-493	479	503
HNV3Z9J01A8M40	59-160	102	15-160	146	171
HNV3Z9J01C2X9B	61-371	311	15-448	434	471
HNV3Z9J01BCU80	59-493	435	15-493	479	501
HNV3Z9J01BQZI6	77-464	388	15-464	450	523
HNV3Z9J01C897U	58-489	432	15-489	475	525
HNV3Z9J01BQ2E8	37-397	361	15-397	383	492
HNV3Z9J01DI3KW	58-326	269	15-326	312	338
HNV3Z9J01BCY6B	61-260	200	15-265	251	363
HNV3Z9J01DYLT3	58-341	284	15-341	327	345
HNV3Z9J01AEQA2	58-473	416	15-473	459	496
HNV3Z9J01DRMDF	58-466	409	15-466	452	472
